group-1,12:04:02 24-08-2019,30
group-1,12:04:02 24-08-2019,30
group-2,12:04:02 24-08-2019,151
group-1,12:04:02 24-08-2019,14
group-2,12:04:02 24-08-2019,120
group-1,12:04:03 24-08-2019,14
group-2,12:04:02 24-08-2019,120
group-1,12:04:03 24-08-2019,14
group-2,12:04:02 24-08-2019,135
group-1,12:04:03 24-08-2019,14
group-2,12:04:03 24-08-2019,225
group-1,12:04:03 24-08-2019,14
group-2,12:04:03 24-08-2019,120
group-1,12:04:03 24-08-2019,30
group-2,12:04:03 24-08-2019,151
group-1,12:04:04 24-08-2019,30
group-2,12:04:03 24-08-2019,151
group-1,12:04:04 24-08-2019,14
group-2,12:04:03 24-08-2019,178
group-1,12:04:04 24-08-2019,358
group-2,12:04:04 24-08-2019,61
group-1,12:04:04 24-08-2019,45
group-2,12:04:04 24-08-2019,178
group-1,12:04:04 24-08-2019,135
group-2,12:04:04 24-08-2019,104
group-2,12:04:04 24-08-2019,151
group-2,12:04:05 24-08-2019,30
group-1,12:04:06 24-08-2019,135
group-2,12:04:05 24-08-2019,300
group-2,12:04:05 24-08-2019,120
group-1,12:04:06 24-08-2019,210
group-2,12:04:05 24-08-2019,120
group-1,12:04:06 24-08-2019,194
group-2,12:04:06 24-08-2019,120
group-1,12:04:06 24-08-2019,300
group-2,12:04:06 24-08-2019,300
group-1,12:04:06 24-08-2019,120
group-2,12:04:06 24-08-2019,14
group-2,12:04:06 24-08-2019,88
group-1,12:04:07 24-08-2019,30
group-2,12:04:06 24-08-2019,88
group-1,12:04:07 24-08-2019,14
group-2,12:04:07 24-08-2019,61
group-1,12:04:07 24-08-2019,14
group-2,12:04:07 24-08-2019,104
group-1,12:04:07 24-08-2019,14
group-2,12:04:07 24-08-2019,14
group-1,12:04:08 24-08-2019,30
group-2,12:04:07 24-08-2019,45
group-1,12:04:08 24-08-2019,14
group-1,12:04:08 24-08-2019,30
group-2,12:04:08 24-08-2019,104
group-1,12:04:08 24-08-2019,30
group-2,12:04:08 24-08-2019,194
group-1,12:04:09 24-08-2019,30
group-1,12:04:09 24-08-2019,30
group-2,12:04:08 24-08-2019,45
group-2,12:04:08 24-08-2019,135
group-1,12:04:09 24-08-2019,30
group-2,12:04:09 24-08-2019,82
group-1,12:04:09 24-08-2019,194
group-2,12:04:09 24-08-2019,88
group-1,12:04:09 24-08-2019,135
group-2,12:04:09 24-08-2019,88
group-1,12:04:10 24-08-2019,178
group-1,12:04:10 24-08-2019,358
group-2,12:04:09 24-08-2019,104
group-1,12:04:10 24-08-2019,14
group-2,12:04:10 24-08-2019,358
group-1,12:04:11 24-08-2019,30
group-2,12:04:10 24-08-2019,358
group-1,12:04:11 24-08-2019,30
group-2,12:04:10 24-08-2019,104
group-1,12:04:11 24-08-2019,225
group-2,12:04:11 24-08-2019,104
group-1,12:04:11 24-08-2019,45
group-2,12:04:11 24-08-2019,30
group-1,12:04:11 24-08-2019,30
group-2,12:04:11 24-08-2019,45
group-1,12:04:12 24-08-2019,120
group-2,12:04:11 24-08-2019,194
group-1,12:04:12 24-08-2019,300
group-2,12:04:11 24-08-2019,135
group-1,12:04:12 24-08-2019,14
group-2,12:04:12 24-08-2019,135
group-1,12:04:13 24-08-2019,45
group-2,12:04:12 24-08-2019,315
group-2,12:04:13 24-08-2019,30
group-1,12:04:13 24-08-2019,45
group-2,12:04:13 24-08-2019,45
group-1,12:04:13 24-08-2019,337
